symbol,name,exchange,assetType,ipoDate,delistingDate,status
A,Agilent Technologies Inc,NYSE,Stock,11/18/1999,null,Active
AA,Alcoa Inc,NYSE,Stock,11/1/2016,null,Active
AACG,ATA Inc,NASDAQ,Stock,1/29/2008,null,Active
AACQ,Artius Acquisition Inc - Class A,NASDAQ,Stock,9/4/2020,null,Active
AACQU,Artius Acquisition Inc - Units (1 Ord Share Class A & 1/3 War),NASDAQ,Stock,7/14/2020,null,Active
AACQW,Artius Acquisition Inc - Warrants (13/07/2025),NASDAQ,Stock,9/4/2020,null,Active
AAL,American Airlines Group Inc,NASDAQ,Stock,9/27/2005,null,Active
AAMC,Altisource Asset Management Corp,NYSE MKT,Stock,12/13/2012,null,Active
AAME,Atlantic American Corp,NASDAQ,Stock,9/7/1984,null,Active
AAN,Aarons Inc,NYSE,Stock,9/7/1984,null,Active
AAOI,Applied Optoelectronics Inc,NASDAQ,Stock,9/26/2013,null,Active
AAON,AAON Inc,NASDAQ,Stock,12/16/1992,null,Active
AAP,Advance Auto Parts Inc,NYSE,Stock,11/29/2001,null,Active
AAPL,Apple Inc,NASDAQ,Stock,12/12/1980,null,Active
AAT,American Assets Trust Inc,NYSE,Stock,1/13/2011,null,Active
AAU,Almaden Minerals Ltd,NYSE MKT,Stock,12/20/2005,null,Active
AAWW,Atlas Air Worldwide Holdings Inc,NASDAQ,Stock,11/9/2005,null,Active
AAXN,Axon Enterprise Inc,NASDAQ,Stock,6/7/2001,null,Active
AB,AllianceBernstein Holding LP,NYSE,Stock,4/15/1988,null,Active
ABB,ABB Ltd ADR,NYSE,Stock,4/6/2001,null,Active
ABBV,AbbVie Inc,NYSE,Stock,1/2/2013,null,Active
ABC,AmerisourceBergen Corp,NYSE,Stock,4/4/1995,null,Active
ABCB,Ameris Bancorp,NASDAQ,Stock,5/19/1994,null,Active
ABEO,Abeona Therapeutics Inc,NASDAQ,Stock,9/19/1980,null,Active
ABEV,Ambev SA,NYSE,Stock,3/5/1997,null,Active
ABG,Asbury Automotive Group Inc,NYSE,Stock,3/21/2002,null,Active
ABIO,ARCA biopharma Inc,NASDAQ,Stock,8/8/1997,null,Active
ABM,ABM Industries Inc,NYSE,Stock,7/19/1984,null,Active
ABMD,Abiomed Inc,NASDAQ,Stock,7/30/1987,null,Active
ABR,Arbor Realty Trust Inc,NYSE,Stock,4/7/2004,null,Active
ABR-P-A,Arbor Realty Trust Preferred Series A,NYSE,Stock,9/22/2014,null,Active
ABR-P-B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,NYSE,Stock,9/22/2014,null,Active
ABR-P-C,Arbor Realty Trust Cumulative Redeemable Preferred Series C,NYSE,Stock,2/24/2014,null,Active
ABT,Abbott Laboratories,NYSE,Stock,4/6/1983,null,Active
ABTX,Allegiance Bancshares Inc,NASDAQ,Stock,10/8/2015,null,Active
ABUS,Arbutus Biopharma Corp,NASDAQ,Stock,8/3/2015,null,Active
AC,Associated Capital Group Inc Class A,NYSE,Stock,12/1/2015,null,Active
ACA,Arcosa Inc,NYSE,Stock,10/30/2018,null,Active
ACAD,ACADIA Pharmaceuticals Inc,NASDAQ,Stock,5/27/2004,null,Active
ACAM,Acamar Partners Acquisition Corp,NASDAQ,Stock,5/9/2019,null,Active
ACAMU,Acamar Partners Acquisition Corp Unit 1 Ordinary Class A 033 War,NASDAQ,Stock,2/22/2019,null,Active
ACAMW,Acamar Partners Acquisition Corp Warrants 22022024,NASDAQ,Stock,4/15/2019,null,Active
ACB,Aurora Cannabis Inc,NYSE,Stock,7/11/2014,null,Active
ACBI,Atlantic Capital Bancshares Inc,NASDAQ,Stock,11/2/2015,null,Active
ACC,American Campus Communities Inc,NYSE,Stock,8/12/2004,null,Active
ACCD,Accolade Inc,NASDAQ,Stock,7/2/2020,null,Active
ACCO,ACCO Brands Corp,NYSE,Stock,8/17/2005,null,Active
ACEL,Accel Entertainment Inc - Class A1,NYSE,Stock,11/21/2019,null,Active
ACEL-WS,,NYSE,Stock,11/21/2019,null,Active
ACER,Acer Therapeutics Inc,NASDAQ,Stock,9/22/2017,null,Active
ACET,Adicet Bio Inc,NASDAQ,Stock,1/26/2018,null,Active
ACEV,ACE Convergence Acquisition Corp - Class A,NASDAQ,Stock,9/21/2020,null,Active
ACEVU,ACE Convergence Acquisition Corp Units 1 Ord Cl A & 12 Red Wt 09302027,NASDAQ,Stock,7/28/2020,null,Active
ACEVW,ACE Convergence Acquisition Corp - Warrants (30/09/2027),NASDAQ,Stock,9/17/2020,null,Active
ACGL,Arch Capital Group Ltd,NASDAQ,Stock,9/14/1995,null,Active
ACGLO,Arch Capital Group Ltd Depositary Shares Each Representing 11000th Interest in a Share of545 NonCumulative Preferred Shares Series F,NASDAQ,Stock,8/15/2017,null,Active
ACGLP,Arch Capital Group Ltd Depositary Shares Representing Interest in 525 NonCumulative Preferred Series E Shrs,NASDAQ,Stock,9/23/2016,null,Active
ACH,Aluminum Corporation Of China Ltd,NYSE,Stock,12/11/2001,null,Active
ACHC,Acadia Healthcare Company Inc,NASDAQ,Stock,3/4/1994,null,Active
ACHV,Achieve Life Sciences Inc,NASDAQ,Stock,10/13/1995,null,Active
ACI,Albertsons Companies Inc - Class A,NYSE,Stock,6/26/2020,null,Active
ACIA,Aprecia Inc,NASDAQ,Stock,5/13/2016,null,Active
ACIU,AC Immune SA,NASDAQ,Stock,9/23/2016,null,Active
ACIW,ACI Worldwide Inc,NASDAQ,Stock,2/27/1995,null,Active
ACLS,Axcelis Technologies Inc,NASDAQ,Stock,7/11/2000,null,Active
ACM,AECOM,NYSE,Stock,5/10/2007,null,Active
ACMR,ACM Research Inc,NASDAQ,Stock,11/3/2017,null,Active
ACN,Accenture Plc,NYSE,Stock,7/19/2001,null,Active
ACNB,ACNB Corp,NASDAQ,Stock,1/2/1996,null,Active
ACND,Ascendant Digital Acquisition Corp - Class A,NYSE,Stock,9/14/2020,null,Active
ACND-U,Ascendant Digital Acquisition Corp - Units ( 1 Ord Cls A & 0.5 Redeem Warr ),NYSE,Stock,7/24/2020,null,Active
ACND-WS,Ascendant Digital Acquisition Corp Warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of 11.50 per share,NYSE,Stock,9/14/2020,null,Active
ACOR,Acorda Therapeutics Inc,NASDAQ,Stock,2/10/2006,null,Active
ACRE,Ares Commercial Real Estate Corp,NYSE,Stock,4/27/2012,null,Active
ACRS,Aclaris Therapeutics Inc,NASDAQ,Stock,10/7/2015,null,Active
ACRX,Acelrx Pharmaceuticals Inc,NASDAQ,Stock,2/11/2011,null,Active
ACST,Acasti Pharma Inc Class A,NASDAQ,Stock,5/6/2011,null,Active
ACTCU,ArcLight Clean Transition Corp - Units (1 Ord Share Class A & 1/2 War),NASDAQ,Stock,9/23/2020,null,Active
ACTG,Acacia Research Corp,NASDAQ,Stock,12/16/2002,null,Active
ACTT,ACT TELECONFERENCING INC,NASDAQ,Stock,5/14/2019,null,Active
ACTTW,Act II Global Acquisition Corp Warrants 30042026,NASDAQ,Stock,5/14/2019,null,Active
ACU,Acme United Corp,NYSE,Stock,9/7/1984,null,Active
